Altitude_ft,Airspeed_knots,Ejection_Type,Pilot_Posture,Time_of_Day,Weather,Terrain,System_Malfunction,Aircraft_Altitude,G_Force,Ejection_Success,Injury_Level
14074.84,364.52,Zero-Zero,Optimal,Day,Clear,Mountain,0,Stable,5.58,1,Minor
6482.99,737.44,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,10.7,1,severe
14623.37,744.67,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,15.34,1,None
11801.59,809.22,Conventional,Slouched,Day,Clear,Water,0,Stable,14.19,0,severe
6550.32,613.25,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,10.79,1,severe
5313.07,495.06,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,8.47,1,Minor
32994.38,456.63,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,9.65,1,severe
7968.41,928.52,Zero-Zero,Optimal,Night,Clear,Mountain,0,Stable,20.0,1,None
5588.32,643.59,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,20.0,1,None
9905.46,263.62,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,10.34,1,severe
9417.61,779.66,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,18.05,1,None
47965.2,189.95,Zero-Zero,Optimal,Night,Clear,Water,1,Stable,10.34,1,severe
33066.11,173.17,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,10.6,1,severe
13741.3,930.01,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,7.03,1,Minor
50000.0,375.49,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,19.01,1,None
50000.0,458.54,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,13.24,1,severe
25028.98,899.08,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,16.81,1,None
6764.01,424.83,Conventional,Optimal,Night,Rain,Land,0,Stable,11.83,1,severe
9596.42,452.54,Zero-Zero,Slouched,Night,Rain,Land,0,Stable,19.07,1,None
8663.31,549.27,Zero-Zero,Slouched,Day,Clear,Land,1,Stable,12.36,1,severe
9168.24,381.89,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,11.56,1,severe
8431.63,723.41,Conventional,Optimal,Night,Rain,Land,0,Stable,20.0,1,None
15157.36,468.27,Conventional,Optimal,Day,Clear,Mountain,1,Stable,12.12,1,severe
5519.82,402.98,Zero-Zero,Optimal,Day,Rain,Water,0,Stable,14.3,1,severe
32362.08,719.98,Conventional,Optimal,Day,Clear,Mountain,0,Stable,16.02,1,None
5261.85,260.62,Conventional,Optimal,Day,Clear,Land,0,Stable,10.48,1,severe
12585.16,508.42,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,11.3,1,severe
5742.97,820.49,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,9.73,1,severe
16760.15,671.22,Zero-Zero,Optimal,Day,Rain,Mountain,0,Stable,15.83,1,None
6245.29,502.24,Conventional,Optimal,Day,Clear,Water,0,Stable,7.34,1,Minor
7150.67,763.5,Zero-Zero,Optimal,Night,Clear,Mountain,0,Stable,11.5,1,severe
29347.63,279.06,Zero-Zero,Optimal,Day,Storm,Water,1,Stable,5.69,1,Minor
8720.97,431.68,Zero-Zero,Slouched,Night,Clear,Mountain,0,Stable,8.23,1,Minor
8792.75,794.79,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,19.57,1,None
21452.21,917.74,Conventional,Optimal,Night,Rain,Water,0,Stable,15.56,1,None
10275.66,783.85,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,7.78,1,Minor
12173.24,943.14,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,13.66,1,severe
6644.1,497.43,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,7.92,1,Minor
6442.75,482.61,Zero-Zero,Optimal,Night,Storm,Water,0,Stable,12.21,1,severe
5155.77,380.3,Zero-Zero,Slouched,Day,Storm,Land,0,Stable,12.65,1,severe
9764.46,862.01,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,11.9,1,severe
6016.45,876.4,Conventional,Optimal,Day,Clear,Water,0,Stable,10.8,1,severe
10837.31,433.91,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,14.9,1,severe
7441.99,865.08,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,14.04,1,severe
22538.99,319.44,Conventional,Optimal,Night,Storm,Water,0,Stable,12.51,1,severe
16387.65,642.36,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
8139.3,158.79,Zero-Zero,Optimal,Day,Storm,Mountain,0,Stable,17.94,1,None
36445.29,410.18,Conventional,Optimal,Night,Clear,Land,1,Stable,6.94,1,Minor
45978.86,388.64,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,10.89,1,severe
8520.82,785.96,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,17.14,1,None
14662.33,704.15,Conventional,Slouched,Night,Clear,Land,0,Stable,13.3,0,severe
6874.04,378.3,Conventional,Optimal,Day,Clear,Water,0,Stable,13.57,1,severe
6071.86,650.32,Zero-Zero,Optimal,Day,Rain,Water,1,Stable,5.97,1,Minor
28335.22,556.69,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.27,1,severe
5503.03,851.72,Conventional,Optimal,Night,Clear,Land,0,Stable,15.76,1,None
6575.58,366.27,Zero-Zero,Optimal,Day,Rain,Water,0,Stable,20.0,1,None
10096.17,592.44,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.78,1,severe
13947.29,587.0,Conventional,Optimal,Day,Clear,Land,0,Stable,11.59,1,severe
16311.81,871.33,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,18.52,1,None
49792.9,478.67,Zero-Zero,Slouched,Night,Clear,Water,0,Stable,14.95,1,severe
9257.97,578.68,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
8374.27,638.56,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,17.75,1,None
17213.62,356.06,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,16.93,1,None
10600.3,561.21,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,8.39,1,Minor
22153.12,613.03,Conventional,Optimal,Night,Rain,Land,0,Stable,17.37,1,None
25357.66,621.45,Zero-Zero,Optimal,Day,Clear,Land,1,Stable,10.57,1,severe
20157.1,370.93,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
7312.81,683.85,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,6.82,1,Minor
24072.85,274.71,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,11.79,1,severe
9593.96,371.66,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
28051.5,624.93,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,8.35,1,Minor
8480.14,663.77,Zero-Zero,Optimal,Day,Rain,Water,0,Stable,10.24,1,severe
15164.66,242.29,Conventional,Optimal,Night,Clear,Land,0,Stable,8.6,1,Minor
20578.45,302.83,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,10.4,1,severe
7602.35,401.86,Conventional,Optimal,Day,Rain,Land,0,Stable,9.54,1,severe
17821.92,746.68,Zero-Zero,Optimal,Day,Clear,Mountain,0,Stable,18.39,1,None
8226.75,539.9,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,7.36,1,Minor
5517.47,419.04,Conventional,Optimal,Night,Clear,Mountain,0,Stable,11.85,1,severe
5315.6,582.22,Conventional,Optimal,Day,Clear,Water,0,Stable,20.0,1,None
16939.61,684.61,Zero-Zero,Slouched,Day,Clear,Mountain,0,Stable,15.48,1,None
19798.48,473.51,Zero-Zero,Optimal,Night,Storm,Water,0,Stable,8.42,1,Minor
24643.67,993.86,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,8.17,1,Minor
7806.9,845.45,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,9.54,1,severe
5449.39,748.77,Conventional,Optimal,Night,Clear,Land,0,Stable,20.0,1,None
35153.89,804.36,Zero-Zero,Optimal,Day,Clear,Land,1,Stable,8.94,1,Minor
23936.47,711.21,Conventional,Optimal,Night,Clear,Land,1,Stable,9.57,0,severe
20104.66,862.89,Conventional,Optimal,Night,Rain,Land,0,Stable,8.72,1,Minor
10111.46,869.64,Zero-Zero,Optimal,Night,Clear,Water,1,Stable,17.33,1,None
7926.43,256.11,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,18.21,1,None
11825.22,494.83,Zero-Zero,Slouched,Day,Rain,Land,0,Stable,7.77,1,Minor
12973.32,645.23,Zero-Zero,Slouched,Night,Storm,Land,0,Stable,14.5,1,severe
6913.97,403.4,Conventional,Optimal,Day,Clear,Water,0,Stable,7.01,1,Minor
31525.4,489.52,Conventional,Optimal,Day,Clear,Water,0,Stable,7.24,1,Minor
6991.71,645.2,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,10.92,1,severe
8226.97,558.23,Conventional,Slouched,Day,Clear,Water,0,Stable,14.72,1,severe
8106.26,618.88,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,7.21,1,Minor
25788.52,359.19,Zero-Zero,Slouched,Day,Clear,Water,0,Stable,15.63,1,None
23307.25,793.73,Conventional,Optimal,Day,Clear,Land,0,Stable,9.96,1,severe
20569.1,697.65,Zero-Zero,Optimal,Night,Clear,Land,1,Stable,12.53,1,severe
16896.53,386.19,Zero-Zero,Optimal,Night,Rain,Land,0,Stable,6.18,1,Minor
25157.57,748.63,Zero-Zero,Optimal,Day,Clear,Water,1,Stable,20.0,1,None
12717.81,523.2,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,10.2,1,severe
8631.4,553.94,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,10.06,1,severe
25339.68,851.2,Conventional,Optimal,Night,Rain,Water,0,Stable,19.36,1,None
16230.46,748.53,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,11.29,1,severe
7195.34,515.1,Zero-Zero,Optimal,Night,Clear,Land,1,Stable,20.0,1,None
20607.03,401.68,Zero-Zero,Optimal,Day,Clear,Land,1,Stable,6.11,1,Minor
7171.63,706.55,Zero-Zero,Slouched,Day,Rain,Water,0,Stable,20.0,1,None
13009.12,481.76,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,12.07,1,severe
12954.29,574.27,Conventional,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
17478.28,742.37,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,12.37,1,severe
23667.96,710.12,Conventional,Optimal,Day,Clear,Mountain,0,Stable,18.65,1,None
24179.34,478.84,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,6.21,1,Minor
6912.48,385.4,Zero-Zero,Slouched,Day,Clear,Land,1,Stable,16.94,1,None
8433.13,752.75,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,20.0,1,None
20397.41,583.9,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,17.76,1,None
24345.92,469.17,Conventional,Optimal,Day,Rain,Land,0,Stable,20.0,1,None
8258.49,239.98,Zero-Zero,Optimal,Day,Storm,Land,1,Stable,7.46,1,Minor
8704.67,524.29,Zero-Zero,Slouched,Day,Clear,Mountain,0,Stable,6.41,1,Minor
8875.35,1042.88,Conventional,Optimal,Day,Clear,Land,0,Stable,11.15,1,severe
5622.72,323.18,Conventional,Optimal,Day,Clear,Land,0,Stable,9.41,1,severe
41110.64,676.27,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,6.93,1,Minor
19704.56,387.84,Zero-Zero,Slouched,Day,Storm,Water,0,Stable,10.01,1,severe
9114.39,186.59,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,12.04,1,severe
5237.72,797.58,Conventional,Optimal,Night,Clear,Mountain,0,Stable,6.89,1,Minor
14708.3,1029.72,Zero-Zero,Optimal,Night,Rain,Land,0,Stable,18.21,1,None
15455.35,653.28,Conventional,Slouched,Night,Clear,Land,0,Stable,19.12,0,Fatal
9707.87,565.0,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,20.0,1,None
5369.47,662.96,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,8.02,1,Minor
24798.34,415.29,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,16.82,1,None
5488.82,342.19,Zero-Zero,Slouched,Day,Clear,Water,0,Stable,6.07,1,Minor
10602.01,355.92,Conventional,Optimal,Day,Rain,Mountain,0,Stable,10.6,1,severe
50000.0,652.88,Zero-Zero,Slouched,Night,Clear,Water,0,Stable,12.96,1,severe
16792.87,405.42,Conventional,Optimal,Day,Clear,Water,0,Stable,10.17,1,severe
12397.19,375.56,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,7.28,1,Minor
15326.91,845.18,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,20.0,1,None
6474.01,428.39,Conventional,Optimal,Day,Rain,Land,0,Stable,20.0,1,None
15498.9,783.24,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.48,1,severe
12831.33,572.95,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
38546.23,420.01,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,13.36,1,severe
10807.82,488.45,Zero-Zero,Optimal,Night,Rain,Mountain,0,Stable,10.7,1,severe
7817.66,562.86,Zero-Zero,Optimal,Night,Rain,Mountain,0,Stable,8.21,1,Minor
5281.83,433.32,Conventional,Optimal,Night,Clear,Mountain,0,Stable,10.62,1,severe
18073.21,516.2,Zero-Zero,Slouched,Day,Storm,Water,1,Stable,10.02,1,severe
6411.91,793.5,Conventional,Optimal,Day,Clear,Water,0,Stable,13.42,1,severe
9053.78,354.01,Zero-Zero,Optimal,Night,Clear,Mountain,0,Stable,7.64,1,Minor
5672.1,469.07,Zero-Zero,Slouched,Night,Clear,Water,0,Stable,13.31,1,severe
9703.4,445.51,Zero-Zero,Slouched,Day,Rain,Land,0,Stable,11.97,1,severe
6017.29,312.39,Conventional,Optimal,Night,Clear,Land,0,Stable,8.73,1,Minor
10975.97,1020.55,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.03,1,severe
13620.55,864.35,Conventional,Slouched,Night,Clear,Land,0,Stable,18.85,0,Fatal
23500.67,331.81,Conventional,Optimal,Day,Clear,Land,0,Stable,16.56,1,None
9550.39,540.16,Conventional,Optimal,Night,Clear,Mountain,0,Stable,6.19,1,Minor
8417.67,189.12,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,15.1,1,None
9772.71,279.18,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,9.39,1,severe
16550.15,743.86,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,11.38,1,severe
12041.27,271.37,Zero-Zero,Optimal,Day,Rain,Water,0,Stable,6.8,1,Minor
24057.68,859.64,Zero-Zero,Optimal,Night,Storm,Land,0,Stable,16.66,1,None
19317.01,406.46,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,14.51,1,severe
7292.38,682.63,Zero-Zero,Optimal,Night,Rain,Land,0,Stable,16.47,1,None
5782.63,357.79,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,15.57,1,None
43574.3,392.64,Conventional,Optimal,Night,Clear,Mountain,0,Stable,19.72,1,None
17107.32,183.72,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,9.77,1,severe
6196.13,753.94,Conventional,Optimal,Day,Clear,Land,0,Stable,10.15,1,severe
46635.65,586.76,Zero-Zero,Optimal,Day,Rain,Water,1,Stable,14.21,1,severe
12004.59,582.43,Conventional,Optimal,Night,Clear,Land,0,Stable,10.1,1,severe
5540.09,622.92,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.07,1,severe
13739.77,912.85,Conventional,Optimal,Night,Clear,Water,0,Stable,6.14,1,Minor
10357.88,497.46,Conventional,Optimal,Day,Clear,Mountain,0,Stable,17.22,1,None
9987.21,445.46,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,13.07,1,severe
5174.24,378.01,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,13.78,1,severe
21917.62,474.48,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,16.26,1,None
32667.36,673.19,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,18.09,1,None
17841.16,514.65,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,18.23,1,None
6305.45,1006.3,Conventional,Optimal,Day,Clear,Mountain,0,Stable,6.28,1,Minor
11193.47,689.7,Conventional,Optimal,Day,Clear,Water,0,Stable,13.09,1,severe
15469.66,467.38,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,13.93,1,severe
11108.04,399.73,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,15.93,1,None
14786.21,259.02,Zero-Zero,Slouched,Day,Clear,Water,0,Stable,12.63,1,severe
12289.34,465.64,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,20.0,1,None
7148.32,696.02,Conventional,Optimal,Day,Clear,Land,0,Stable,15.47,1,None
15527.98,477.89,Conventional,Optimal,Day,Clear,Land,0,Stable,9.04,1,severe
10794.36,576.02,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,20.0,1,None
9623.12,266.38,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
6323.12,401.42,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,13.49,1,severe
7241.88,329.67,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,20.0,1,None
31366.29,865.74,Zero-Zero,Optimal,Night,Storm,Mountain,0,Stable,11.31,1,severe
9442.71,735.64,Zero-Zero,Slouched,Night,Clear,Water,0,Stable,20.0,1,None
9966.45,502.86,Zero-Zero,Optimal,Day,Clear,Mountain,0,Stable,8.2,1,Minor
14389.27,414.77,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,13.81,1,severe
17769.65,402.38,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,20.0,1,None
16975.09,515.32,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,15.9,1,None
6281.09,473.05,Conventional,Optimal,Night,Clear,Land,0,Stable,15.61,1,None
15310.33,675.79,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,6.35,1,Minor
22414.46,306.78,Conventional,Optimal,Night,Clear,Land,0,Stable,18.33,1,None
18342.61,297.9,Zero-Zero,Slouched,Night,Rain,Water,0,Stable,16.61,1,None
6822.08,284.16,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,20.0,1,None
8086.99,319.05,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,14.26,1,severe
45824.52,280.07,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,17.75,1,None
9030.96,916.06,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,7.79,1,Minor
12820.05,673.56,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,12.61,1,severe
5929.25,381.86,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,8.0,1,Minor
16259.32,621.56,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,10.02,1,severe
27809.29,524.04,Zero-Zero,Optimal,Night,Storm,Land,0,Stable,7.88,1,Minor
5409.3,670.93,Conventional,Optimal,Night,Clear,Land,0,Stable,6.25,1,Minor
6486.81,287.69,Conventional,Optimal,Day,Storm,Land,0,Stable,6.02,1,Minor
16443.84,655.38,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,20.0,1,None
14298.09,533.85,Zero-Zero,Optimal,Night,Clear,Mountain,0,Stable,20.0,1,None
5436.31,276.98,Zero-Zero,Optimal,Night,Rain,Land,1,Stable,20.0,1,None
11059.43,450.1,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,9.13,1,severe
48759.11,361.06,Conventional,Optimal,Day,Rain,Land,0,Stable,10.48,1,severe
5465.48,529.42,Conventional,Optimal,Day,Clear,Water,0,Stable,20.0,1,None
22122.65,527.73,Conventional,Slouched,Night,Clear,Mountain,0,Stable,5.73,1,Minor
7870.11,844.39,Zero-Zero,Optimal,Night,Rain,Land,0,Stable,12.45,1,severe
18600.01,667.6,Conventional,Optimal,Day,Rain,Water,0,Stable,15.15,1,None
16796.94,770.8,Zero-Zero,Slouched,Day,Rain,Land,0,Stable,8.03,1,Minor
9088.63,467.62,Zero-Zero,Optimal,Day,Rain,Mountain,0,Stable,5.47,1,Minor
7091.62,660.68,Zero-Zero,Optimal,Day,Storm,Land,0,Stable,12.05,1,severe
23182.68,931.26,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,10.61,1,severe
15393.41,694.24,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,7.14,1,Minor
6815.57,445.07,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,15.4,1,None
28658.08,567.39,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,12.86,1,severe
17637.31,243.51,Conventional,Optimal,Night,Clear,Mountain,0,Stable,13.32,1,severe
12034.75,312.34,Conventional,Slouched,Day,Storm,Land,0,Stable,11.22,1,severe
6124.48,626.44,Conventional,Slouched,Day,Clear,Land,0,Stable,13.23,0,severe
5194.43,593.9,Zero-Zero,Slouched,Night,Rain,Mountain,0,Stable,18.94,1,None
11568.68,808.16,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,15.62,1,None
8801.14,875.78,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,5.19,1,Minor
6988.34,581.5,Conventional,Optimal,Night,Clear,Land,1,Stable,16.5,0,Fatal
